Importe,card_type,country,card_operation_type,transaction_type,acquirer,state
3500,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
7500,VISA,AR,CREDIT,PAY,COSMIC,ACCEPTED
4000,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
7500,VISA,PA,CREDIT,PAY,COSMIC,ACCEPTED
4500,VISA,AR,CREDIT,PAY,COSMIC,ACCEPTED
4500,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
4500,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
132558,VISA,AR,CREDIT,PAY,COSMIC,ACCEPTED
3500,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
41625,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
3500,VISA,AR,CREDIT,PAY,COSMIC,ACCEPTED
2000,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
5000,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
2000,MASTERCARD,AR,DEBIT,PAY,COSMIC,ACCEPTED
3500,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
7500,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
3000,VISA,AR,CREDIT,PAY,COSMIC,ACCEPTED
7500,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
3000,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
41940,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
6500,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
53560,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
48000,MASTERCARD,AR,CREDIT,PAY,COSMIC,ACCEPTED
4500,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
500,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
5000,VISA,PA,CREDIT,PAY,COSMIC,ACCEPTED
31750,VISA,AR,CREDIT,PAY,COSMIC,ACCEPTED
191866,MASTERCARD,SV,CREDIT,PAY,COSMIC,ACCEPTED
4500,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
1500,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
40375,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
3000,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
44500,MASTERCARD,AR,DEBIT,PAY,COSMIC,ACCEPTED
7500,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
7500,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
7500,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
3000,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
4500,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
3500,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
1500,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
3500,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
7562,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
78989,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
24000,MASTERCARD,PA,CREDIT,PAY,COSMIC,ACCEPTED
50500,VISA,AR,CREDIT,PAY,COSMIC,ACCEPTED
4000,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
101000,VISA,PA,CREDIT,PAY,COSMIC,ACCEPTED
74250,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
61500,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
4500,VISA,PA,CREDIT,PAY,COSMIC,ACCEPTED
7500,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
4500,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
7500,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
7500,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
112500,VISA,AR,CREDIT,PAY,COSMIC,ACCEPTED
151000,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
4500,MASTERCARD,PA,CREDIT,PAY,COSMIC,ACCEPTED
6500,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
30300,VISA,SV,CREDIT,PAY,COSMIC,ACCEPTED
69000,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
3500,MASTERCARD,AR,DEBIT,PAY,COSMIC,ACCEPTED
2000,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
6000,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
45000,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
6500,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
77050,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
1500,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
4500,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
3500,MASTERCARD,PA,CREDIT,PAY,COSMIC,ACCEPTED
6500,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
6500,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
79000,VISA,PA,CREDIT,PAY,COSMIC,ACCEPTED
1500,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
1000,VISA,SV,CREDIT,PAY,COSMIC,ACCEPTED
7500,MASTERCARD,PA,DEBIT,PAY,COSMIC,ACCEPTED
4500,MASTERCARD,PA,DEBIT,PAY,COSMIC,ACCEPTED
51000,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
80500,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
91500,VISA,PA,CREDIT,PAY,COSMIC,ACCEPTED
3500,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
1000,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
2000,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
2000,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
5000,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
100,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
32000,VISA,AR,CREDIT,PAY,COSMIC,ACCEPTED
5000,MASTERCARD,SV,CREDIT,PAY,COSMIC,ACCEPTED
3000,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
17500,MASTERCARD,AR,CREDIT,PAY,COSMIC,ACCEPTED
2000,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
4500,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
77000,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
8500,VISA,SV,CREDIT,PAY,COSMIC,ACCEPTED
4500,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
19000,MASTERCARD,AR,CREDIT,PAY,COSMIC,ACCEPTED
100,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
47259,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
3000,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
6000,MASTERCARD,SV,CREDIT,PAY,COSMIC,ACCEPTED
7500,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
116952,MASTERCARD,PA,PREPAID,PAY,COSMIC,ACCEPTED
25875,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
37079,VISA,SV,CREDIT,PAY,COSMIC,ACCEPTED
7500,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
41000,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
7500,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
61500,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
114500,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
27300,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
7500,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
25500,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
2000,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
27500,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
3000,MASTERCARD,AR,CREDIT,PAY,COSMIC,ACCEPTED
7500,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
5000,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
7500,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
3000,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
3000,MASTERCARD,PA,CREDIT,PAY,COSMIC,ACCEPTED
4000,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
7500,MASTERCARD,SV,CREDIT,PAY,COSMIC,ACCEPTED
1500,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
7500,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
7500,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
7500,MASTERCARD,PA,CREDIT,PAY,COSMIC,ACCEPTED
4500,MASTERCARD,PA,CREDIT,PAY,COSMIC,ACCEPTED
6500,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
8000,AMERICAN,SV,DEBIT,REFUND,COSMIC,CANCELLED
107000,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
4500,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
3000,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
28500,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
58400,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
3000,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
25700,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
3000,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
27475,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
71500,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
141400,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
52000,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
25500,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
7500,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
6500,AMERICAN,SV,CREDIT,REFUND,COSMIC,CANCELLED
36000,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
36000,VISA,AR,CREDIT,PAY,COSMIC,ACCEPTED
3500,VISA,SV,CREDIT,PAY,COSMIC,ACCEPTED
7500,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
3000,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
30999,VISA,SV,CREDIT,PAY,COSMIC,ACCEPTED
7500,MASTERCARD,PA,DEBIT,PAY,COSMIC,ACCEPTED
4500,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
2000,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
47625,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
6500,MASTERCARD,PA,CREDIT,PAY,COSMIC,ACCEPTED
4000,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
3000,MASTERCARD,SV,CREDIT,PAY,COSMIC,ACCEPTED
17750,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
74000,VISA,AR,CREDIT,PAY,COSMIC,ACCEPTED
4500,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
3500,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
8000,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
34633,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
49000,MASTERCARD,PA,CREDIT,PAY,COSMIC,ACCEPTED
29490,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
48000,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
45000,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
6000,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
3500,VISA,SV,CREDIT,PAY,COSMIC,ACCEPTED
65750,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
7500,VISA,AR,CREDIT,PAY,COSMIC,ACCEPTED
43656,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
2000,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
6500,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
41000,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
48500,MASTERCARD,PA,DEBIT,PAY,COSMIC,ACCEPTED
4500,MASTERCARD,PA,DEBIT,PAY,COSMIC,ACCEPTED
3500,MASTERCARD,AR,CREDIT,PAY,COSMIC,ACCEPTED
74500,VISA,SV,CREDIT,PAY,COSMIC,ACCEPTED
